S N,Date of Audit,Department,Score
1.0,1/1/2026,"BF-1,2",3.54
2.0,17/01/2026,R&D,3.53
3.0,18/12/2025,PPC,3.5
4.0,2/1/2026,PDQC,3.47
5.0,23/12/2025,CRM-1,3.4
6.0,22/01/2026,SMS-2,3.28
7.0,23/01/2026,CMD,3.26
8.0,2/1/2026,PP-1,3.05
9.0,22/01/2026,RMHS,3.05
10.0,3/1/2026,CRM-2,3.02
11.0,18/12/2025,CSD,3
12.0,1/1/2026,"BF-3,4",2.95
13.0,28/11/2025,"Coke Oven -3, 4",2.93
14.0,28/01/2026,SMS-1,2.92
15.0,31/12/2025,HSM-2,2.9
16.0,1/1/2026,Corex 1&2,2.9
17.0,24/12/2025,"SP-2,3,4",2.54
18.0,27/12/2025,OBP-2,2.54
19.0,2/1/2026,HSM-1,2.45
20.0,15/01/2026,BRM-2 & WRM-2,2.43
21.0,17/01/2026,CRS & Ishop,2.41
22.0,20/01/2026,DRI,2.4
23.0,3/1/2026,BRM-1 & WRM-1,2.31
24.0,29/12/2025,Energy Management,2.22
25.0,17/12/2025,Logistics,2.28
26.0,30/01/2026,Central Stores,2.04
27.0,20/01/2026,SMS-3,1.88
28.0,20/01/2026,Utilities,1.88
29.0,19/01/2026,Environment Management,1.81
30.0,3/2/2026,Commercial,1.81
31.0,21/01/2026,HR,1.73
32.0,21/01/2026,LCP,1.73
33.0,24/12/2025,SP-1,1.69
34.0,4/2/2026,Safety,
35.0,5/2/2026,PP-2,2.52
,,,
,,,
,Not participated ,,PP-3
