S N,Date of audit,Department,Score
1,4/7/2026,CRM-1 &  CRM-2,3.98
2,2/7/2026,BRM-2 & WRM-2,3.88
3,29/06/2026,BRM-1 & WRM-1,3.76
4,8/7/2026,CSD,3.71
5,24/06/2026,"Coke-3, 4",3.62
6,29/06/2026,CMD,3.55
7,1/7/2026,"BF-1,2",3.55
8,6/7/2026,HSM-2,3.5
9,25/06/2026,R&D,3.5
10,9/7/2026,Logistics,3.5
11,6/7/2026,PPC,3.4
12,27/06/2026,DRI,3.4
13,26/06/2026,Safety,3.39
14,27/06/2026,HSM-1,3.36
15,7/72026,Utilities,3.21
16,6/7/2026,SMS-3,3.18
17,2/7/2026,"SP-2,3,4",3.17
18,10/7/2026,RMHS,3.13
19,30/06/2026,PP-1 & SP1,3.12
20,8/7/2026,Energy Management,3.1
21,26/06/2026,SMS-2,3.07
22,26/06/2026,Corex 1&2,3.07
23,4/7/2026,PP-2 & PP-3,3.03
24,26/06/2026,HR,3.0
25,4/7/2026,OBP-2,2.98
26,30/06/2026,Commercial,2.63
