Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Total L07 & Below Employee,Kaizen Monthly Target,KaizenYearly Target,OPL/POKA YOKE Monthly Target,OPL/POKA YOKE YearlyTarget
,13,26,Sinter Plant I,13,2,26,1,13
,55,110,Beneficiation I,55,9,110,5,55
,37,74,Pellet Plant I,37,6,74,3,37
,21,42,Sinter Plant II,21,4,42,2,21
,23,46,Sinter Plant III,23,4,46,2,23
,13,26,Sinter Plant IV,13,2,26,1,13
,22,44,Sinter Plant V,22,4,44,2,22
,32,64,Pellet Plant II,32,5,64,3,32
,53,106,Pellet Plant III,53,9,106,4,53
,47,94,Beneficiation II,47,8,94,4,47
,129,258,RMHS Upto 5MT,129,22,258,11,129
,129,258,RMHS Upto 10MT,129,22,258,11,129
,68,136,Lime Calcination Plant,68,11,136,6,68
,259,518,Steel Melting Shop I,259,43,518,22,259
,346,692,Steel Melting Shop II,346,58,692,29,346
,154,308,Steel Melting Shop III,154,26,308,13,154
,223,446,SMS-4,223,37,446,19,223
,29,58,Direct Reduced Iron,29,5,58,2,29
,38,76,Refractories,38,6,76,3,38
,154,308,Central Maintenance,154,26,308,13,154
,57,114,Utilities,57,10,114,5,57
,83,166,Energy Management,83,14,166,7,83
,4,8,Environment Management,4,1,8,0,4
,5,10,Oxygen Plant ,5,1,10,0,5
,37,74,"Central Repair Shop,ISHOP",37,6,74,3,37
,0,0,SEED,0,0,0,0,0
,10,20,Human Resources,10,2,20,1,10
,14,28,Finance and Accounts,14,2,28,1,14
,8,16,Safety,8,1,16,1,8
,8,16,IT & Digitalisation,8,1,16,1,8
,49,98,Central Stores,49,8,98,4,49
,17,34,Commercial,17,3,34,1,17
,45,90,Civil,45,8,90,4,45
,71,142,Hot Strip Mill I,71,12,142,6,71
,84,168,Hot Strip Mill II,84,14,168,7,84
,72,144,Hot Strip Mill III,72,12,144,6,72
,161,322,Cold Rolling Mill I,161,27,322,13,161
,162,324,Cold Rolling Mill II,162,27,324,14,162
,32,64,Wire Rod Mill 1,32,5,64,3,32
,58,116,Wire Rod Mill II,58,10,116,5,58
,32,64,Bar Rod Mill I,32,5,64,3,32
,58,116,Bar Mill II,58,10,116,5,58
,33,66,"Blast Furnace 1, Blast Furnace 2",65,12,130,5,65
,32,64,Blast Furnace III,70,12,140,6,70
,70,140,Blast Furnace IV,59,10,118,5,59
,59,118,Blast Furnace V,94,16,188,8,94
,94,188,COREX 1&2,80,13,160,7,80
,80,160,Product Development & Quality Control,3,1,6,0,3
,3,6,Production Planning & Control(PPC),17,3,34,1,17
,17,34,Customer Service Department,6,1,12,1,6
,6,12,Logistics,284,47,568,24,284
,284,568,Coke Ovens III,30,5,60,3,30
,30,60,Coke Ovens IV,30,5,60,3,30
,30,60,Coke Ovens V,38,6,76,3,38
,38,76,CDQ,13,2,26,1,13
,13,26,M1-Tunga,,4,48,3,36
,211,422,M2-Bhadra,,4,48,3,36
,,7824,M3-Devadari,,4,48,2,24
,,,M4-Nandi,,4,48,2,24
,,,M5-Rama,,3,36,1,12
,,,M6-Dharma,,3,36,1,12
,,,M7-Narayana,,3,36,1,12
,,,M8-Ubbalagundi,,3,36,1,12
,,,M9-Bhomman,,3,36,2,24
,,,S1-Mines office,,4,48,2,24
