S N,Department,Score,Zone,Avg Score
1,R&D,3.53,Services,2.63
2,PPC,3.5,Services,2.63
3,PDQC,3.47,Services,2.63
4,CMD,3.26,Services,2.63
5,CSD,3.0,Services,2.63
6,CRS & Ishop,2.41,Services,2.63
7,Logistics,2.28,Services,2.63
8,Central Stores,2.04,Services,2.63
9,Utilities,1.88,Services,2.63
10,Commercial,1.81,Services,2.63
11,HR,1.73,Services,2.63
12,Safety,,Services,2.63
13,CRM-1,3.4,DIC Mill,2.82
14,CRM-2,3.02,DIC Mill,2.82
15,HSM-1,2.45,DIC Mill,2.82
16,HSM-2,3.28,DIC Mill,2.82
17,BRM-1 & WRM-1,2.31,DIC Mill,2.82
18,BRM-2 & WRM-2,2.43,DIC Mill,2.82
19,PP-1,3.05,DIC Agglotech,2.47
20,PP-2,2.52,DIC Agglotech,2.47
21,SP-1,1.69,DIC Agglotech,2.47
22,"SP-2,3,4",2.54,DIC Agglotech,2.47
23,OBP-2,2.54,DIC Agglotech,2.47
24,Environment Management,1.81,DIC Utility,2.02
25,Energy Management,2.22,DIC Utility,2.02
26,"Coke oven -3, 4",2.93,DIC Cokeoven,2.93
27,"BF-1,2",3.54,DIC Iron making,3.13
28,"BF-3,4",2.95,DIC Iron making,3.13
29,Corex 1&2,2.9,DIC Iron making,3.13
30,DRI,2.4,DIC Steel,2.44
31,LCP,1.73,DIC Steel,2.44
32,SMS-1,2.92,DIC Steel,2.44
33,SMS-2,3.28,DIC Steel,2.44
34,SMS-3,1.88,DIC Steel,2.44
35,RMHS,3.05,DIC RMHS,3.05
