S N,Department,Score,Zone,Avg Score
1,R&D,2.67,Services,2.06
2,PPC,3.04,Services,2.06
3,PDQC,2.83,Services,2.06
4,CMD,3.06,Services,2.06
5,CSD,3.22,Services,2.06
6,Logistics,0.0,Services,2.06
7,CRS & Ishop,0.0,Services,2.06
8,Central Stores,3.04,Services,2.06
9,Utilities,2.85,Services,2.06
10,Commercial,2.18,Services,2.06
11,HR,1.88,Services,2.06
12,Safety,0.0,Services,2.06
13,CRM-1,3.32,DIC Mill,2.68
14,CRM-2,3.04,DIC Mill,2.68
15,HSM-1,3.2,DIC Mill,2.68
16,HSM-2,0.0,DIC Mill,2.68
17,BRM-1 & WRM-1,3.21,DIC Mill,2.68
18,BRM-2 & WRM-2,3.32,DIC Mill,2.68
19,PP-1 + SP-1,2.23,DIC Agglotech,1.59
20,PP-2,2.42,DIC Agglotech,1.59
21,PP-3,0.0,,1.59
22,"SP-2,3,4",3.29,DIC Agglotech,1.59
23,OBP-2,0.0,DIC Agglotech,1.59
24,Environment Management,1.71,DIC Utility,2.09
25,Energy Management,2.46,DIC Utility,2.09
26,"Coke oven -3, 4",2.54,DIC Cokeoven,2.54
27,"BF-1,2",2.98,DIC Iron making,2.7
28,BF-4,1.96,DIC Iron making,2.7
29,Corex 1&2,3.16,DIC Iron making,2.7
30,DRI,3.0,DIC Steel,1.14
31,LCP,0.0,DIC Steel,1.14
32,SMS-1,0.0,DIC Steel,1.14
33,SMS-2,0.0,DIC Steel,1.14
34,SMS-3,2.68,DIC Steel,1.14
35,RMHS,2.96,DIC RMHS,2.96
