source_file,department,section,sub_section,kpi_name,sheet_name,month_year,date,actual,plan,ucl,cl,lcl
Copy of DWM CO3 & CO4  April26 REV 01.xlsm,Coke Ovens,Coke Oven #3,,Power Consumption CO#3,CKPI Sp Power Cons CO 3,2026-04-30,2026-04-01,81.49512760311904,,83.77,79.38,75.0
Copy of DWM CO3 & CO4  April26 REV 01.xlsm,Coke Ovens,Coke Oven #3,,Power Consumption CO#3,CKPI Sp Power Cons CO 3,2026-04-30,2026-04-02,81.02447320368213,,83.77,79.38,75.0
Copy of DWM CO3 & CO4  April26 REV 01.xlsm,Coke Ovens,Coke Oven #3,,Power Consumption CO#3,CKPI Sp Power Cons CO 3,2026-04-30,2026-04-03,79.36864064170102,,83.77,79.38,75.0
Copy of DWM CO3 & CO4  April26 REV 01.xlsm,Coke Ovens,Coke Oven #3,,Power Consumption CO#3,CKPI Sp Power Cons CO 3,2026-04-30,2026-04-04,79.98713988370683,,83.77,79.38,75.0
Copy of DWM CO3 & CO4  April26 REV 01.xlsm,Coke Ovens,Coke Oven #3,,Power Consumption CO#3,CKPI Sp Power Cons CO 3,2026-04-30,2026-04-05,80.90998754501672,,83.77,79.38,75.0
Copy of DWM CO3 & CO4  April26 REV 01.xlsm,Coke Ovens,Coke Oven #3,,Power Consumption CO#3,CKPI Sp Power Cons CO 3,2026-04-30,2026-04-06,78.54320549980528,,83.77,79.38,75.0
Copy of DWM CO3 & CO4  April26 REV 01.xlsm,Coke Ovens,Coke Oven #3,,Power Consumption CO#3,CKPI Sp Power Cons CO 3,2026-04-30,2026-04-07,78.75789542889008,,83.77,79.38,75.0
Copy of DWM CO3 & CO4  April26 REV 01.xlsm,Coke Ovens,Coke Oven #3,,Power Consumption CO#3,CKPI Sp Power Cons CO 3,2026-04-30,2026-04-08,79.0320255867535,,83.77,79.38,75.0
Copy of DWM CO3 & CO4  April26 REV 01.xlsm,Coke Ovens,Coke Oven #3,,Power Consumption CO#3,CKPI Sp Power Cons CO 3,2026-04-30,2026-04-09,80.11613758846599,,83.77,79.38,75.0
Copy of DWM CO3 & CO4  April26 REV 01.xlsm,Coke Ovens,Coke Oven #3,,Power Consumption CO#3,CKPI Sp Power Cons CO 3,2026-04-30,2026-04-10,83.21716357582191,,83.77,79.38,75.0
Copy of DWM CO3 & CO4  April26 REV 01.xlsm,Coke Ovens,Coke Oven #3,,Power Consumption CO#3,CKPI Sp Power Cons CO 3,2026-04-30,2026-04-11,81.83330953475227,,83.77,79.38,75.0
Copy of DWM CO3 & CO4  April26 REV 01.xlsm,Coke Ovens,Coke Oven #3,,Power Consumption CO#3,CKPI Sp Power Cons CO 3,2026-04-30,2026-04-12,80.59474847084637,,83.77,79.38,75.0
Copy of DWM CO3 & CO4  April26 REV 01.xlsm,Coke Ovens,Coke Oven #3,,Power Consumption CO#3,CKPI Sp Power Cons CO 3,2026-04-30,2026-04-13,80.7288088966281,,83.77,79.38,75.0
Copy of DWM CO3 & CO4  April26 REV 01.xlsm,Coke Ovens,Coke Oven #4,,Power Consumption CO#4,CKPI Sp Power Cons CO 4,2026-04-30,2026-04-01,66.98184355899976,,70.87,67.08,63.29
Copy of DWM CO3 & CO4  April26 REV 01.xlsm,Coke Ovens,Coke Oven #4,,Power Consumption CO#4,CKPI Sp Power Cons CO 4,2026-04-30,2026-04-02,67.24232408030487,,70.87,67.08,63.29
Copy of DWM CO3 & CO4  April26 REV 01.xlsm,Coke Ovens,Coke Oven #4,,Power Consumption CO#4,CKPI Sp Power Cons CO 4,2026-04-30,2026-04-03,69.31680983234565,,70.87,67.08,63.29
Copy of DWM CO3 & CO4  April26 REV 01.xlsm,Coke Ovens,Coke Oven #4,,Power Consumption CO#4,CKPI Sp Power Cons CO 4,2026-04-30,2026-04-04,70.24529554462805,,70.87,67.08,63.29
Copy of DWM CO3 & CO4  April26 REV 01.xlsm,Coke Ovens,Coke Oven #4,,Power Consumption CO#4,CKPI Sp Power Cons CO 4,2026-04-30,2026-04-05,67.8461092732206,,70.87,67.08,63.29
Copy of DWM CO3 & CO4  April26 REV 01.xlsm,Coke Ovens,Coke Oven #4,,Power Consumption CO#4,CKPI Sp Power Cons CO 4,2026-04-30,2026-04-06,67.53047615786382,,70.87,67.08,63.29
Copy of DWM CO3 & CO4  April26 REV 01.xlsm,Coke Ovens,Coke Oven #4,,Power Consumption CO#4,CKPI Sp Power Cons CO 4,2026-04-30,2026-04-07,67.13835478146927,,70.87,67.08,63.29
Copy of DWM CO3 & CO4  April26 REV 01.xlsm,Coke Ovens,Coke Oven #4,,Power Consumption CO#4,CKPI Sp Power Cons CO 4,2026-04-30,2026-04-08,67.09237008056694,,70.87,67.08,63.29
Copy of DWM CO3 & CO4  April26 REV 01.xlsm,Coke Ovens,Coke Oven #4,,Power Consumption CO#4,CKPI Sp Power Cons CO 4,2026-04-30,2026-04-09,65.55668271999808,,70.87,67.08,63.29
Copy of DWM CO3 & CO4  April26 REV 01.xlsm,Coke Ovens,Coke Oven #4,,Power Consumption CO#4,CKPI Sp Power Cons CO 4,2026-04-30,2026-04-10,66.51649400041259,,70.87,67.08,63.29
Copy of DWM CO3 & CO4  April26 REV 01.xlsm,Coke Ovens,Coke Oven #4,,Power Consumption CO#4,CKPI Sp Power Cons CO 4,2026-04-30,2026-04-11,70.73085823909368,,70.87,67.08,63.29
Copy of DWM CO3 & CO4  April26 REV 01.xlsm,Coke Ovens,Coke Oven #4,,Power Consumption CO#4,CKPI Sp Power Cons CO 4,2026-04-30,2026-04-12,68.88551959408814,,70.87,67.08,63.29
Copy of DWM CO3 & CO4  April26 REV 01.xlsm,Coke Ovens,Coke Oven #4,,Power Consumption CO#4,CKPI Sp Power Cons CO 4,2026-04-30,2026-04-13,65.15346390002186,,70.87,67.08,63.29
Copy of DWM CO3 & CO4  April26 REV 01.xlsm,Coke Ovens,Coke Oven #3,,Specific Heat Consumption CO#3,CKPI Sp Fuel Cons CO 3,2026-04-30,2026-04-01,0.8197750144174132,,0.87,0.8145,0.7589
Copy of DWM CO3 & CO4  April26 REV 01.xlsm,Coke Ovens,Coke Oven #3,,Specific Heat Consumption CO#3,CKPI Sp Fuel Cons CO 3,2026-04-30,2026-04-02,0.832391179135938,,0.87,0.8145,0.7589
Copy of DWM CO3 & CO4  April26 REV 01.xlsm,Coke Ovens,Coke Oven #3,,Specific Heat Consumption CO#3,CKPI Sp Fuel Cons CO 3,2026-04-30,2026-04-03,0.833515630945688,,0.87,0.8145,0.7589
Copy of DWM CO3 & CO4  April26 REV 01.xlsm,Coke Ovens,Coke Oven #3,,Specific Heat Consumption CO#3,CKPI Sp Fuel Cons CO 3,2026-04-30,2026-04-04,0.8287440477390461,,0.87,0.8145,0.7589
Copy of DWM CO3 & CO4  April26 REV 01.xlsm,Coke Ovens,Coke Oven #3,,Specific Heat Consumption CO#3,CKPI Sp Fuel Cons CO 3,2026-04-30,2026-04-05,0.8302579234581284,,0.87,0.8145,0.7589
Copy of DWM CO3 & CO4  April26 REV 01.xlsm,Coke Ovens,Coke Oven #3,,Specific Heat Consumption CO#3,CKPI Sp Fuel Cons CO 3,2026-04-30,2026-04-06,0.8138723650687689,,0.87,0.8145,0.7589
Copy of DWM CO3 & CO4  April26 REV 01.xlsm,Coke Ovens,Coke Oven #3,,Specific Heat Consumption CO#3,CKPI Sp Fuel Cons CO 3,2026-04-30,2026-04-07,0.8121274931836561,,0.87,0.8145,0.7589
Copy of DWM CO3 & CO4  April26 REV 01.xlsm,Coke Ovens,Coke Oven #3,,Specific Heat Consumption CO#3,CKPI Sp Fuel Cons CO 3,2026-04-30,2026-04-08,0.8233394095393344,,0.87,0.8145,0.7589
Copy of DWM CO3 & CO4  April26 REV 01.xlsm,Coke Ovens,Coke Oven #3,,Specific Heat Consumption CO#3,CKPI Sp Fuel Cons CO 3,2026-04-30,2026-04-09,0.8385491439834738,,0.87,0.8145,0.7589
Copy of DWM CO3 & CO4  April26 REV 01.xlsm,Coke Ovens,Coke Oven #3,,Specific Heat Consumption CO#3,CKPI Sp Fuel Cons CO 3,2026-04-30,2026-04-10,0.8668616890902759,,0.87,0.8145,0.7589
Copy of DWM CO3 & CO4  April26 REV 01.xlsm,Coke Ovens,Coke Oven #3,,Specific Heat Consumption CO#3,CKPI Sp Fuel Cons CO 3,2026-04-30,2026-04-11,0.8472372227926396,,0.87,0.8145,0.7589
Copy of DWM CO3 & CO4  April26 REV 01.xlsm,Coke Ovens,Coke Oven #3,,Specific Heat Consumption CO#3,CKPI Sp Fuel Cons CO 3,2026-04-30,2026-04-12,0.7659770839470837,,0.87,0.8145,0.7589
Copy of DWM CO3 & CO4  April26 REV 01.xlsm,Coke Ovens,Coke Oven #4,,Specific Heat Consumption CO#4,CKPI Sp Fuel Cons CO 4,2026-04-30,2026-04-01,0.8272865490653558,,0.9125,0.8174,0.7223
Copy of DWM CO3 & CO4  April26 REV 01.xlsm,Coke Ovens,Coke Oven #4,,Specific Heat Consumption CO#4,CKPI Sp Fuel Cons CO 4,2026-04-30,2026-04-02,0.8325131733113166,,0.9125,0.8174,0.7223
Copy of DWM CO3 & CO4  April26 REV 01.xlsm,Coke Ovens,Coke Oven #4,,Specific Heat Consumption CO#4,CKPI Sp Fuel Cons CO 4,2026-04-30,2026-04-03,0.8186709051103389,,0.9125,0.8174,0.7223
Copy of DWM CO3 & CO4  April26 REV 01.xlsm,Coke Ovens,Coke Oven #4,,Specific Heat Consumption CO#4,CKPI Sp Fuel Cons CO 4,2026-04-30,2026-04-04,0.8107455010650709,,0.9125,0.8174,0.7223
Copy of DWM CO3 & CO4  April26 REV 01.xlsm,Coke Ovens,Coke Oven #4,,Specific Heat Consumption CO#4,CKPI Sp Fuel Cons CO 4,2026-04-30,2026-04-05,0.7911181885483848,,0.9125,0.8174,0.7223
Copy of DWM CO3 & CO4  April26 REV 01.xlsm,Coke Ovens,Coke Oven #4,,Specific Heat Consumption CO#4,CKPI Sp Fuel Cons CO 4,2026-04-30,2026-04-06,0.8173193443346078,,0.9125,0.8174,0.7223
Copy of DWM CO3 & CO4  April26 REV 01.xlsm,Coke Ovens,Coke Oven #4,,Specific Heat Consumption CO#4,CKPI Sp Fuel Cons CO 4,2026-04-30,2026-04-07,0.7927881260219154,,0.9125,0.8174,0.7223
