source_file,department,section,sub_section,kpi_name,uom,type,date,value
DWM CO3 & CO4  May26.xlsm,Coke Ovens,,,OPE of Coke oven 3,%,Plan,2022-04-01,79.0
DWM CO3 & CO4  May26.xlsm,Coke Ovens,,,OPE of Coke oven 3,%,Plan,2022-05-01,79.0
DWM CO3 & CO4  May26.xlsm,Coke Ovens,,,OPE of Coke oven 3,%,Plan,2022-06-01,79.0
DWM CO3 & CO4  May26.xlsm,Coke Ovens,,,OPE of Coke oven 3,%,Plan,2022-07-01,79.0
DWM CO3 & CO4  May26.xlsm,Coke Ovens,,,OPE of Coke oven 3,%,Plan,2022-08-01,79.0
DWM CO3 & CO4  May26.xlsm,Coke Ovens,,,OPE of Coke oven 3,%,Plan,2022-09-01,79.0
DWM CO3 & CO4  May26.xlsm,Coke Ovens,,,OPE of Coke oven 3,%,Plan,2022-10-01,79.0
DWM CO3 & CO4  May26.xlsm,Coke Ovens,,,OPE of Coke oven 3,%,Plan,2022-11-01,79.0
DWM CO3 & CO4  May26.xlsm,Coke Ovens,,,OPE of Coke oven 3,%,Plan,2022-12-01,79.0
DWM CO3 & CO4  May26.xlsm,Coke Ovens,,,OPE of Coke oven 3,%,Plan,2023-01-01,79.0
DWM CO3 & CO4  May26.xlsm,Coke Ovens,,,OPE of Coke oven 3,%,Plan,2023-02-01,79.0
DWM CO3 & CO4  May26.xlsm,Coke Ovens,,,OPE of Coke oven 3,%,Plan,2023-03-01,79.0
DWM CO3 & CO4  May26.xlsm,Coke Ovens,,,OPE of Coke oven 3,%,Plan,2023-04-01,80.0
DWM CO3 & CO4  May26.xlsm,Coke Ovens,,,OPE of Coke oven 3,%,Plan,2023-05-01,80.0
DWM CO3 & CO4  May26.xlsm,Coke Ovens,,,OPE of Coke oven 3,%,Plan,2023-06-01,80.0
DWM CO3 & CO4  May26.xlsm,Coke Ovens,,,OPE of Coke oven 3,%,Plan,2023-07-01,80.0
DWM CO3 & CO4  May26.xlsm,Coke Ovens,,,OPE of Coke oven 3,%,Plan,2023-08-01,80.0
DWM CO3 & CO4  May26.xlsm,Coke Ovens,,,OPE of Coke oven 3,%,Plan,2023-09-01,80.0
DWM CO3 & CO4  May26.xlsm,Coke Ovens,,,OPE of Coke oven 3,%,Plan,2023-10-01,80.0
DWM CO3 & CO4  May26.xlsm,Coke Ovens,,,OPE of Coke oven 3,%,Plan,2023-11-01,80.0
DWM CO3 & CO4  May26.xlsm,Coke Ovens,,,OPE of Coke oven 3,%,Plan,2023-12-01,80.0
DWM CO3 & CO4  May26.xlsm,Coke Ovens,,,OPE of Coke oven 3,%,Plan,2024-01-01,80.0
DWM CO3 & CO4  May26.xlsm,Coke Ovens,,,OPE of Coke oven 3,%,Plan,2024-02-01,80.0
DWM CO3 & CO4  May26.xlsm,Coke Ovens,,,OPE of Coke oven 3,%,Plan,2024-03-01,80.0
DWM CO3 & CO4  May26.xlsm,Coke Ovens,,,OPE of Coke oven 3,%,Plan,2024-04-01,81.0
DWM CO3 & CO4  May26.xlsm,Coke Ovens,,,OPE of Coke oven 3,%,Plan,2024-05-01,81.0
DWM CO3 & CO4  May26.xlsm,Coke Ovens,,,OPE of Coke oven 3,%,Plan,2024-06-01,81.0
DWM CO3 & CO4  May26.xlsm,Coke Ovens,,,OPE of Coke oven 3,%,Plan,2024-07-01,81.0
DWM CO3 & CO4  May26.xlsm,Coke Ovens,,,OPE of Coke oven 3,%,Plan,2024-08-01,81.0
DWM CO3 & CO4  May26.xlsm,Coke Ovens,,,OPE of Coke oven 3,%,Plan,2024-09-01,81.0
DWM CO3 & CO4  May26.xlsm,Coke Ovens,,,OPE of Coke oven 3,%,Plan,2024-10-01,81.0
DWM CO3 & CO4  May26.xlsm,Coke Ovens,,,OPE of Coke oven 3,%,Plan,2024-11-01,81.0
DWM CO3 & CO4  May26.xlsm,Coke Ovens,,,OPE of Coke oven 3,%,Plan,2024-12-01,81.0
DWM CO3 & CO4  May26.xlsm,Coke Ovens,,,OPE of Coke oven 3,%,Plan,2025-01-01,81.0
DWM CO3 & CO4  May26.xlsm,Coke Ovens,,,OPE of Coke oven 3,%,Plan,2025-02-01,81.0
DWM CO3 & CO4  May26.xlsm,Coke Ovens,,,OPE of Coke oven 3,%,Plan,2025-03-01,81.0
DWM CO3 & CO4  May26.xlsm,Coke Ovens,,,OPE of Coke oven 3,%,Actual,2022-04-01,79.13
DWM CO3 & CO4  May26.xlsm,Coke Ovens,,,OPE of Coke oven 3,%,Actual,2022-05-01,79.33
DWM CO3 & CO4  May26.xlsm,Coke Ovens,,,OPE of Coke oven 3,%,Actual,2022-06-01,78.55
DWM CO3 & CO4  May26.xlsm,Coke Ovens,,,OPE of Coke oven 3,%,Actual,2022-07-01,79.58
DWM CO3 & CO4  May26.xlsm,Coke Ovens,,,OPE of Coke oven 3,%,Actual,2022-08-01,79.41
DWM CO3 & CO4  May26.xlsm,Coke Ovens,,,OPE of Coke oven 3,%,Actual,2022-09-01,78.76
DWM CO3 & CO4  May26.xlsm,Coke Ovens,,,OPE of Coke oven 3,%,Actual,2022-10-01,78.47
DWM CO3 & CO4  May26.xlsm,Coke Ovens,,,OPE of Coke oven 3,%,Actual,2022-11-01,70.24
DWM CO3 & CO4  May26.xlsm,Coke Ovens,,,OPE of Coke oven 3,%,Actual,2022-12-01,72.6
DWM CO3 & CO4  May26.xlsm,Coke Ovens,,,OPE of Coke oven 3,%,Actual,2023-01-01,77.69
DWM CO3 & CO4  May26.xlsm,Coke Ovens,,,OPE of Coke oven 3,%,Actual,2023-02-01,77.0
DWM CO3 & CO4  May26.xlsm,Coke Ovens,,,OPE of Coke oven 3,%,Actual,2023-03-01,78.52
DWM CO3 & CO4  May26.xlsm,Coke Ovens,,,OPE of Coke oven 3,%,Actual,2023-04-01,83.63338883920156
DWM CO3 & CO4  May26.xlsm,Coke Ovens,,,OPE of Coke oven 3,%,Actual,2023-05-01,84.12969468572774
