id,zone,dept,image_type,image_file,before_file,status,submitted_at
64770b1b,DIC Agglo,SP1,before,51.10032026144440.jpg,51.10032026144440.jpg,approved,18-03-2026 10:19:19
198d36a6,DIC Agglo,SP1,before,51.10032026144341.jpg,51.10032026144341.jpg,approved,18-03-2026 10:19:26
13a5ef8d,DIC Agglo,SP1,before,51.10032026144241.jpg,51.10032026144241.jpg,approved,18-03-2026 10:19:33
1f2f0701,DIC Agglo,SP1,before,51.10032026144140.jpg,51.10032026144140.jpg,approved,18-03-2026 10:19:38
9a82e9eb,DIC Agglo,SP1,before,51.10032026144040.jpg,51.10032026144040.jpg,approved,18-03-2026 10:19:42
b94d4726,DIC Agglo,SP1,before,51.10032026143940.jpg,51.10032026143940.jpg,approved,18-03-2026 10:19:46
885c54c5,DIC Agglo,SP1,before,51.10032026143840.jpg,51.10032026143840.jpg,approved,18-03-2026 10:19:52
7fce4fd7,DIC Agglo,SP1,before,51.10032026143640.jpg,51.10032026143640.jpg,approved,18-03-2026 10:20:13
ca3e5553,DIC Agglo,SP1,before,51.10032026143540.jpg,51.10032026143540.jpg,approved,18-03-2026 10:20:24
f0f09ba7,DIC Agglo,SP1,before,51.10032026143440.jpg,51.10032026143440.jpg,approved,18-03-2026 10:20:28
f403e730,DIC Agglo,SP1,before,51.10032026143310.jpg,51.10032026143310.jpg,approved,18-03-2026 10:21:31
b9d00ca4,DIC Agglo,SP1,before,51.10032026143340.jpg,51.10032026143340.jpg,approved,18-03-2026 10:21:35
31da99b1,DIC Agglo,SP1,before,51.10032026143240.jpg,51.10032026143240.jpg,approved,18-03-2026 10:21:38
78bc1058,DIC Agglo,SP1,before,51.10032026142940.jpg,51.10032026142940.jpg,approved,18-03-2026 10:21:48
78efcef9,DIC Agglo,SP1,before,51.10032026142740.jpg,51.10032026142740.jpg,approved,18-03-2026 10:21:54
32d8467f,DIC Agglo,SP1,before,51.10032026142540.jpg,51.10032026142540.jpg,approved,18-03-2026 10:22:00
70f6cafb,DIC Agglo,SP1,before,51.10032026142440.jpg,51.10032026142440.jpg,approved,18-03-2026 10:22:04
4452656d,DIC Agglo,SP1,before,51.10032026142340.jpg,51.10032026142340.jpg,approved,18-03-2026 10:22:18
5e25c1a7,DIC Agglo,SP1,before,51.10032026142140.jpg,51.10032026142140.jpg,approved,18-03-2026 10:22:30
e308e7ef,DIC Agglo,SP1,before,51.10032026142040.jpg,51.10032026142040.jpg,approved,18-03-2026 10:22:48
5be17963,DIC Agglo,SP1,before,51.10032026141940.jpg,51.10032026141940.jpg,approved,18-03-2026 10:22:52
cc651480,DIC Agglo,SP1,before,51.10032026141740.jpg,51.10032026141740.jpg,approved,18-03-2026 10:22:57
828a7373,DIC Agglo,SP1,before,51.10032026141540.jpg,51.10032026141540.jpg,approved,18-03-2026 10:23:03
2f0b95d7,DIC Agglo,SP1,before,1.20022026112502.jpg,1.20022026112502.jpg,approved,18-03-2026 10:23:33
816f9b44,DIC Agglo,SP1,after,1.1.20022026112502.jpg,1.20022026112502.jpg,approved,18-03-2026 10:23:34
0cc603b6,DIC Agglo,SP1,before,51.10032026142240.jpg,51.10032026142240.jpg,approved,18-03-2026 10:23:52
bd958afa,DIC Agglo,SP1,after,51.1.10032026142240.jpg,51.10032026142240.jpg,approved,18-03-2026 10:23:53
e8e67ab8,DIC Agglo,SP1,before,51.10032026143940.jpg,51.10032026143940.jpg,approved,18-03-2026 10:25:32
925d81d9,DIC Agglo,SP1,before,51.10032026143840.jpg,51.10032026143840.jpg,approved,18-03-2026 10:25:36
e0c5b3b7,DIC Agglo,SP1,before,51.10032026143910.jpg,51.10032026143910.jpg,approved,18-03-2026 10:25:42
d408c90d,DIC Agglo,SP1,before,51.10032026143841.jpg,51.10032026143841.jpg,approved,18-03-2026 10:26:10
2891419e,DIC Agglo,SP1,before,51.10032026143510.jpg,51.10032026143510.jpg,approved,18-03-2026 10:26:21
0e836ccc,DIC Agglo,SP1,before,51.10032026143140.jpg,51.10032026143140.jpg,approved,18-03-2026 10:26:34
0cc50262,DIC Agglo,SP1,before,51.10032026143941.jpg,51.10032026143941.jpg,approved,18-03-2026 10:27:49
4486c78b,DIC Agglo,SP1,before,51.10032026143841.jpg,51.10032026143841.jpg,approved,18-03-2026 10:27:51
dcb04eb2,DIC Agglo,SP1,before,51.10032026144240.jpg,51.10032026144240.jpg,approved,18-03-2026 10:30:14
a8267557,DIC Agglo,SP1,before,51.10032026144041.jpg,51.10032026144041.jpg,approved,18-03-2026 10:30:17
4b556223,DIC Agglo,SP1,before,51.10032026142840.jpg,51.10032026142840.jpg,approved,18-03-2026 10:32:44
8d0eaa48,DIC Agglo,SP1,before,51.10032026142640.jpg,51.10032026142640.jpg,approved,18-03-2026 10:32:50
85b399cc,DIC Agglo,SP1,before,51.10032026141840.jpg,51.10032026141840.jpg,approved,18-03-2026 10:33:07
1698c8b1,DIC Agglo,SP1,before,51.10032026141640.jpg,51.10032026141640.jpg,approved,18-03-2026 10:33:13
2af422f2,DIC Agglo,SP1,before,51.10032026141354.jpg,51.10032026141354.jpg,approved,18-03-2026 10:33:18
58da1e30,DIC Agglo,SP1,after,51.1.10032026141354.jpg,51.10032026141354.jpg,approved,18-03-2026 10:33:19
07997a85,DIC Agglo,SP1,before,46.08032026152542.jpg,46.08032026152542.jpg,approved,18-03-2026 10:33:22
d0f1f10a,DIC Agglo,SP1,after,46.1.08032026152542.jpg,46.08032026152542.jpg,approved,18-03-2026 10:33:23
745bf761,DIC Agglo,SP1,before,19.03032026143841.jpg,19.03032026143841.jpg,approved,18-03-2026 10:33:50
cdd482dd,DIC Agglo,SP1,after,19.1.03032026143841.jpg,19.03032026143841.jpg,approved,18-03-2026 10:33:51
5a29bcc5,DIC Agglo,SP1,before,51.10032026144141.jpg,51.10032026144141.jpg,approved,18-03-2026 10:35:19
8cb0e6c4,DIC Agglo,SP1,before,51.10032026143040.jpg,51.10032026143040.jpg,approved,18-03-2026 10:35:43
dffa5613,DIC RMHS,RMHS 5MT & CSP,after,37.1.06032026115417.jpg,37.06032026115417.jpg,approved,18-03-2026 11:46:47
c8bdbf10,DIC Utility,Incinerator area & GP123,before,4.17022026132010.jpg,4.17022026132010.jpg,approved,18-03-2026 12:14:31
c9de967a,DIC Utility,Incinerator area & GP123,after,4.1.17022026132010.jpg,4.17022026132010.jpg,approved,18-03-2026 12:15:12
b9eef851,DIC Utility,Incinerator area & GP123,before,4.17022026132010.jpg,4.17022026132010.jpg,approved,18-03-2026 12:15:24
23ed6110,DIC Utility,Incinerator area & GP123,after,4.1.17022026132010.jpg,4.17022026132010.jpg,approved,18-03-2026 12:15:25
dda563fc,DIC Utility,Incinerator area & GP123,before,3.17022026131743.jpg,3.17022026131743.jpg,approved,18-03-2026 12:15:34
aef40c64,DIC Utility,Incinerator area & GP123,after,3.1.17022026131743.jpg,3.17022026131743.jpg,approved,18-03-2026 12:15:36
18b6dc26,DIC RMHS,RMHS 7&10MT,after,209.1.06032026131109.jpg,209.06032026131109.jpg,approved,18-03-2026 12:31:39
f760ba14,DIC RMHS,RMHS 7&10MT,after,209.1.06032026131109.jpg,209.06032026131109.jpg,approved,18-03-2026 14:31:51
a3dfbfd8,DIC RMHS,RMHS 7&10MT,after,209.1.06032026131109.jpg,209.06032026131109.jpg,approved,18-03-2026 15:59:30
c7211e7e,DIC Iron Making,Coke 3&4 including Coke 1&2 area,before,21.06032026145656.jpg,21.06032026145656.jpg,pending,18-03-2026 17:05:20
3e0b4bf0,DIC Iron Making,Coke 3&4 including Coke 1&2 area,before,5.06032026150226.jpg,5.06032026150226.jpg,rejected,18-03-2026 17:05:55
c02f9484,DIC Iron Making,Coke 3&4 including Coke 1&2 area,before,21.06032026150356.jpg,21.06032026150356.jpg,rejected,18-03-2026 17:06:08
a9981ff9,DIC Iron Making,Coke 3&4 including Coke 1&2 area,before,37.06032026150910.jpg,37.06032026150910.jpg,rejected,18-03-2026 17:06:24
0723d582,DIC Iron Making,Coke 3&4 including Coke 1&2 area,before,68.06032026153918.jpg,68.06032026153918.jpg,rejected,18-03-2026 17:07:04
224f3cdc,DIC Iron Making,Coke 3&4 including Coke 1&2 area,before,68.06032026154018.jpg,68.06032026154018.jpg,rejected,18-03-2026 17:07:13
902ba47b,DIC Iron Making,Coke 3&4 including Coke 1&2 area,before,68.06032026154218.jpg,68.06032026154218.jpg,rejected,18-03-2026 17:07:22
8ae79969,DIC Iron Making,Coke 3&4 including Coke 1&2 area,before,68.06032026154318.jpg,68.06032026154318.jpg,rejected,18-03-2026 17:07:29
1c5e31fe,DIC Iron Making,Coke 3&4 including Coke 1&2 area,before,53.06032026154551.jpg,53.06032026154551.jpg,rejected,18-03-2026 17:07:54
90ed3da9,DIC Iron Making,Coke 3&4 including Coke 1&2 area,before,68.06032026154618.jpg,68.06032026154618.jpg,rejected,18-03-2026 17:07:56
492ec397,DIC Iron Making,IM5MT,before,257.13032026172616.jpg,257.13032026172616.jpg,rejected,18-03-2026 17:29:13
27002d5b,DIC Iron Making,IM5MT,after,257.1.13032026172616.jpg,257.13032026172616.jpg,rejected,18-03-2026 17:29:15
513f84ce,DIC Iron Making,IM5MT,before,257.13032026172245.jpg,257.13032026172245.jpg,rejected,18-03-2026 17:29:19
0441ed80,DIC Iron Making,IM5MT,after,257.1.13032026172245.jpg,257.13032026172245.jpg,rejected,18-03-2026 17:29:20
a3b778ec,DIC Iron Making,IM5MT,before,257.13032026172224.jpg,257.13032026172224.jpg,rejected,18-03-2026 17:29:25
4538704a,DIC Iron Making,IM5MT,after,257.1.13032026172224.jpg,257.13032026172224.jpg,rejected,18-03-2026 17:29:27
8beae71d,DIC Agglo,"PP1, OBP1 & WWP",before,34.09032026122856.jpg,34.09032026122856.jpg,rejected,19-03-2026 01:27:22
061ba8d8,DIC Agglo,"PP1, OBP1 & WWP",before,34.09032026122756.jpg,34.09032026122756.jpg,rejected,19-03-2026 01:27:28
1a105b2d,DIC Agglo,SP1,before,51.10032026143954.jpg,51.10032026143954.jpg,rejected,19-03-2026 17:02:17
34d983bf,DIC Agglo,SP1,before,51.10032026143641.jpg,51.10032026143641.jpg,rejected,19-03-2026 17:03:07
58e84bc9,DIC Agglo,SP1,before,51.10032026143054.jpg,51.10032026143054.jpg,rejected,19-03-2026 17:03:34
52841533,DIC Agglo,SP1,before,51.10032026142941.jpg,51.10032026142941.jpg,rejected,19-03-2026 17:03:40
0d44c9bf,DIC Agglo,SP1,before,51.10032026142741.jpg,51.10032026142741.jpg,rejected,19-03-2026 17:03:49
b4de92b3,DIC Agglo,SP1,before,51.10032026142541.jpg,51.10032026142541.jpg,rejected,19-03-2026 17:03:56
3782942d,DIC Agglo,SP1,before,51.10032026144441.jpg,51.10032026144441.jpg,rejected,19-03-2026 17:07:05
ff29a77e,DIC Agglo,SP1,before,51.10032026143954.jpg,51.10032026143954.jpg,rejected,19-03-2026 17:07:39
01c4a124,DIC Agglo,SP1,before,51.10032026143741.jpg,51.10032026143741.jpg,rejected,19-03-2026 17:08:06
4237b47a,DIC Agglo,SP1,before,51.10032026143641.jpg,51.10032026143641.jpg,rejected,19-03-2026 17:08:42
38b7399f,DIC Agglo,SP1,before,51.10032026143441.jpg,51.10032026143441.jpg,rejected,19-03-2026 17:09:03
51145321,DIC Agglo,SP1,before,51.10032026143054.jpg,51.10032026143054.jpg,rejected,19-03-2026 17:09:24
f49ab07c,DIC Agglo,SP1,before,51.10032026142941.jpg,51.10032026142941.jpg,rejected,19-03-2026 17:09:33
9d37f128,DIC Agglo,SP1,before,51.10032026142610.jpg,51.10032026142610.jpg,rejected,19-03-2026 17:10:24
b8d81403,DIC Agglo,SP1,before,51.10032026142124.jpg,51.10032026142124.jpg,rejected,19-03-2026 17:15:23
a12a4e7d,DIC Agglo,SP1,before,51.10032026142024.jpg,51.10032026142024.jpg,rejected,19-03-2026 17:15:35
c9a9fec4,DIC Agglo,SP1,before,51.10032026141854.jpg,51.10032026141854.jpg,rejected,19-03-2026 17:15:54
957ce5f0,DIC Agglo,SP1,before,51.10032026142124.jpg,51.10032026142124.jpg,rejected,19-03-2026 17:59:36
3de08b04,DIC Agglo,"PP1, OBP1 & WWP",before,34.09032026122756.jpg,34.09032026122756.jpg,rejected,20-03-2026 02:25:41
78ac3fdb,DIC Agglo,"PP1, OBP1 & WWP",before,34.09032026122856.jpg,34.09032026122856.jpg,rejected,20-03-2026 02:25:45
1cd02b23,DIC RMHS,RMHS 5MT & CSP,before,72.06032026122806.jpg,72.06032026122806.jpg,rejected,20-03-2026 09:02:51
2dee9cd6,DIC Iron Making,Coke 3&4 including Coke 1&2 area,before,53.06032026154551.jpg,53.06032026154551.jpg,pending,20-03-2026 09:52:17
040c35f0,DIC Iron Making,Coke 3&4 including Coke 1&2 area,before,68.06032026154618.jpg,68.06032026154618.jpg,pending,20-03-2026 09:52:23
29cac6aa,DIC Iron Making,Coke 3&4 including Coke 1&2 area,before,5.06032026150026.jpg,5.06032026150026.jpg,pending,20-03-2026 09:58:09
fab080ce,DIC Mill,HSM2 & CTL,before,112.13032026161725.jpg,112.13032026161725.jpg,approved,20-03-2026 10:26:32
2c7654d6,DIC Mill,HSM2 & CTL,after,112.1.13032026161725.jpg,112.13032026161725.jpg,approved,20-03-2026 10:26:35
3b500794,DIC Agglo,OBP2,before,2.09032026123816.jpg,2.09032026123816.jpg,pending,20-03-2026 16:46:15
6be55f83,DIC Steel,SMS1,after,1.1.06032026151855.jpg,1.06032026151855.jpg,pending,20-03-2026 20:00:01
a9bb9fee,DIC Agglo,SP1,before,51.10032026143610.jpg,51.10032026143610.jpg,pending,21-03-2026 12:30:19
a30ccf75,DIC Agglo,SP1,before,51.10032026144441.jpg,51.10032026144441.jpg,pending,21-03-2026 12:30:47
7d649413,DIC Agglo,SP1,before,51.10032026144340.jpg,51.10032026144340.jpg,pending,21-03-2026 12:30:55
b856231a,DIC Agglo,SP1,before,51.10032026144310.jpg,51.10032026144310.jpg,pending,21-03-2026 12:31:02
803f79a6,DIC Agglo,SP1,before,51.10032026143641.jpg,51.10032026143641.jpg,pending,21-03-2026 12:31:20
2434aa92,DIC Agglo,SP1,before,51.10032026143441.jpg,51.10032026143441.jpg,pending,21-03-2026 12:31:32
ef40a4c5,DIC Agglo,SP1,before,51.10032026143141.jpg,51.10032026143141.jpg,pending,21-03-2026 12:31:59
583f1ba1,DIC Agglo,SP1,before,51.10032026143141.jpg,51.10032026143141.jpg,pending,21-03-2026 12:32:01
072b387f,DIC Agglo,SP1,before,51.10032026143141.jpg,51.10032026143141.jpg,pending,21-03-2026 12:32:05
5e8fed61,DIC Agglo,SP1,before,51.10032026142810.jpg,51.10032026142810.jpg,pending,21-03-2026 12:32:36
