id,zone,dept,item_file,spec_file,total_items,total_evaluation,sorted,status,submitted_at
c64719ee3dbf,DIC Utility,Energy & Oxygen Plants,c64719ee3dbf.25022026164102.jpg,c64719ee3dbf.1.25022026164102.jpg,4,6400000,no,approved,2026-02-25 16:41:02
df3e3d8ac5ac,DIC Utility,Energy & Oxygen Plants,df3e3d8ac5ac.25022026164243.jpg,df3e3d8ac5ac.1.25022026164243.jpg,2,800000,no,pending,2026-02-25 16:42:43
51a65cf910c4,DIC Utility,Energy & Oxygen Plants,51a65cf910c4.25022026164248.jpg,51a65cf910c4.1.25022026164248.jpg,2,800000,no,pending,2026-02-25 16:42:48
21dcde6c4036,DIC Utility,Energy & Oxygen Plants,21dcde6c4036.25022026164357.jpg,21dcde6c4036.1.25022026164357.jpg,7,2800000,no,pending,2026-02-25 16:43:57
4028fd274acb,DIC Utility,Energy & Oxygen Plants,4028fd274acb.25022026164445.jpg,4028fd274acb.1.25022026164445.jpg,7,2800000,no,pending,2026-02-25 16:44:45
785559b3a097,DIC Utility,Energy & Oxygen Plants,785559b3a097.25022026164527.jpg,785559b3a097.1.25022026164527.jpg,2,800000,no,pending,2026-02-25 16:45:27
4e4756e492ba,DIC Utility,Energy & Oxygen Plants,4e4756e492ba.25022026164531.jpg,4e4756e492ba.1.25022026164531.jpg,2,800000,no,pending,2026-02-25 16:45:31
80f5f5828c6a,DIC Utility,Energy & Oxygen Plants,80f5f5828c6a.25022026164644.jpg,80f5f5828c6a.1.25022026164644.jpg,1,600000,no,pending,2026-02-25 16:46:44
10707271c9b0,DIC Mill,HSM2 & CTL,10707271c9b0.16072026123204.jpg,10707271c9b0.1.16072026123204.jpg,63,15422400,no,approved,2026-07-16 12:32:04
fe02185233bc,DIC Mill,HSM2 & CTL,fe02185233bc.16072026123447.jpg,fe02185233bc.1.16072026123447.jpg,20,14784000,no,approved,2026-07-16 12:34:47
69aae2018949,DIC Mill,HSM2 & CTL,69aae2018949.16072026123642.jpg,69aae2018949.1.16072026123642.jpg,3,2784000,no,approved,2026-07-16 12:36:42
3c578855ceb5,DIC Mill,HSM2 & CTL,3c578855ceb5.31072026093727.jpg,3c578855ceb5.1.31072026093727.jpg,3,0,no,approved,2026-07-31 09:37:27
c431caa28f45,DIC Mill,HSM2 & CTL,c431caa28f45.12082026130137.jpg,c431caa28f45.1.12082026130137.jpg,1,0,no,approved,2026-08-12 13:01:37
