S N,Date of audit,1st half,Unnamed: 3,2nd half
1,16/02/2026,"Coke oven 3,4",,Logistics
2,17/02/2026,SP 2 + SP 3 + SP 4,PP 1 + SP 1,OBP 2
3,18/02/2026,"Corex 1,2 ",BF 1 + BF 2,PDQC 
4,19/02/2026,HSM 1,HSM 2,CSD
5,20/02/2026,BF 3 + BF 4,,CRM 1 + CRM 2
6,21/02/2026,WRM 1 + BRM 1   ,WRM 2 + BRM 2,CMD
7,23/02/2026,Energy ,Environment,R&D
8,24/02/2026,PPC ,,Ishop
9,25/02/2026,RMHS,,Central stores
10,26/02/2026,LCP ,SMS 1 +SMS 2,Utilities
11,27/02/2026,SMS-3,DRI,Commercial 
12,28/02/2026,PP 2 + PP 3 ,Safety,HR
