S N,Date of audit,1st half,Unnamed: 3,2nd half,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
1,24/06/2026,BF4,,"Coke oven 3,4",,,,,
2,25/06/2026,,R&D,,,,,,
3,26/06/2026,"Corex 1,2 ",HR,Safety,SMS 2,,,,
4,27/06/2026,HSM 1,,DRI,,,,,
5,29/06/2026,WRM 1 + BRM 1   ,,,CMD,,,,
6,30/06/2026,PP 1 + SP 1,,Commercial ,,,,,
7,1/7/2026,BF 1 + BF 2,,,,,,,
8,2/7/2026,SP 2 + SP 3 + SP 4,,WRM 2 + BRM 2,,,,,
9,3/7/2026,,,,,,,,
10,4/7/2026,PP 2 + PP 3 ,OBP 2,CRM 1,CRM 2,,,,
11,6/7/2026,SMS-3,,HSM 2,PPC,,,,
12,7/72026,,Utilities,SMS 1,LCP ,,,,
13,8/7/2026,Energy management,Environment management,PDQC ,CSD,,,,
14,9/7/2026,,Central stores,Logistics,,,,,
15,10/7/2026,RMHS,,,,,,,
