S #,PRODUCT,PRODUCT DESCRIPTION,Examples,photo,UOM,RMHS,PP- & OBP-1,PP-2,PP-3,SP1,"SP-2,3, 4 &5",LCP-1 TO 4,CO-3&4,CO-5,CX-1&2,BF-1&2,BF-4,BF-5,DRI,SMS-1,SMS-2,SMS-3,SMS-4,HSM-1,HSM-2,HSM-3,WRM-1 & BRM-1,WRM-2 & BRM-2,CRM-1,CRM-2,EMD,UTILITY,CMD/ISHOP/MRS,LOGISTIC,Total (months),Total (per year)
1,7100000009,BEARING SCRAP,,,MT,0.65,0.5,0.22,2.0,0.05,0.05,0.0,0.0,0.5,0.0,0.0,0.2,0.14,0.05,0.2,0.015,0.01,0.01,2.0,0.42,0.42,0.45,0.6,0.025,0.0,0.0216666666666666,0.05,0.005,10.0,18.586666666666662,223.04
2,7100000025,USED THINNER,,,DR,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.02,0.0,0.0,0.1,0.0,2.1499999999999995,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,25.27,303.24
3,7100000042,OLD & USED COPPER CABLE SCRAP,,,MT,0.1,0.2,0.02,0.04,0.0,0.2,0.001,0.0,1.0,0.0,0.0,0.1,0.01,0.0,0.8,0.0,0.05,0.05,0.2,2.15,2.37,0.02,0.08,0.03,0.0,0.0,0.0,0.002,0.0,7.422999999999999,89.076
4,7100000051,"SCRP,ELECTRONIC/ELECTRICAL (All Light fittings & electrical items)",,,MT,0.5,0.1,0.01,0.188,0.02,0.02,0.005,0.0,1.0,0.0,0.0,0.1,0.05,0.01,0.5,0.0,0.02,0.02,1.5,2.37,1.1800000000000002,0.035,0.09,0.03,0.0,0.0,0.1,0.02,0.0,7.867999999999999,94.416
5,7100000056,"SCRP,WOODEN SCRAP:MIX WOOD",,,MT,0.0,0.3,0.15,3.0,0.02,0.1,0.5,0.5,5.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.5,31.0,0.01,1.18,0.09,600.0,0.5,4.6,0.0,0.0,0.5,0.0,50.0,700.95,8411.400000000001
6,7100000065,"SCRP,SCRAP PLASTIC TANK PP -1000 LTR",,,EA,0.0,20.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,93.09,1117.08
7,7100000085,OLD & USED PAPER CARTON ( PACKING BOX ),,,MT,0.5,0.2,0.05,0.001,0.01,0.05,0.001,0.1,0.5,0.0,0.0,0.1,0.01,0.0,2.5,0.0,0.02,0.02,0.1,1.22,1.2200000000000002,0.0,0.05,0.2,0.0,0.0,0.0,0.01,30.0,36.862,442.344
8,7100000160,"SCRP,OLD AND USED,MATERIAL:CERAMIC WOOL",,,MT,0.0,0.01,0.0,0.5,0.0,0.01,0.005,0.0,10.0,0.0,0.0,0.5,0.0025,0.02,0.0,0.0,1.0,1.0,0.0,0.0,0.7,0.5,0.45,0.22,0.0,0.0,0.0,0.0,0.0,14.9175,179.01
9,7100000169,"SCRP,E-WASTE",,,MT,0.4,0.05,0.01,0.0,0.05,0.005,0.001,0.0,0.25,0.0,0.0,0.05,0.02,0.0,0.0,0.0,0.01,0.01,0.5,0.0,0.1,0.0375,0.8,0.0,0.0,0.1,0.0,0.0,0.0,2.3935000000000004,28.722000000000005
10,7100000184,"SCRP,PACKING WOODEN SCRAP",,,MT,7.5,0.1,0.1,1.2,0.02,0.01,0.0,0.5,3.0,0.0,0.0,1.0,0.08,0.5,6.5,0.02,0.02,0.02,110.0,0.7,394.0,0.5,0.65,0.0,0.0,0.0,0.1,0.01,10.0,536.53,6438.36
11,7100000185,SCRAPPED EMPTY CABLE WOODEN DRUM,,,MT,0.6,0.2,0.01,0.02,0.02,0.02,0.001,0.0,5.0,0.0,0.0,0.5,0.02,0.0,0.5,0.0,0.02,0.02,0.0,0.1,70.0,0.0,0.15,0.1,0.0,0.0,0.0,0.0,0.0,77.281,927.372
12,7100000186,"SCRP,USED CONVEYOR BELT",,,MT,87.0,4.0,1.5,10.0,1.0,0.5,6.0,0.0,40.0,0.0,0.0,1.0,2.58,0.0,4.0,0.5,0.02,0.4166666666666667,80.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.51666666666665,3102.2
13,7100000187,SCRAPPED CONVEYOR BELT ( Steel Core ),,,MT,85.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.16,0.0,1.0,0.5,0.03,0.0,0.1,0.0,2.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,91.09,1093.08
