Date,Item Name,Tonnage
2026-04-30,Metallic Scrap,7.01
2026-04-27,Metallic Scrap,3.2
2026-04-24,Metallic Scrap,5.63
2026-04-17,Metallic Scrap,9.05
2026-04-10,Metallic Scrap,11.18
2026-04-10,Metallic Scrap,12.18
2026-04-04,Metallic Scrap,15.67
2026-04-04,Metallic Scrap,6.15
2026-04-03,Metallic Scrap,3.56
2026-03-31,Metallic Scrap,1.71
2026-03-31,Metallic Scrap,2.14
2026-03-31,Metallic Scrap,6.25
2026-03-31,Metallic Scrap,2.29
2026-03-30,Metallic Scrap,5.05
2026-03-24,Metallic Scrap,4.3
2026-03-23,Metallic Scrap,1.45
2026-03-23,Metallic Scrap,2.36
2026-03-17,Metallic Scrap,1.4
2026-03-17,Metallic Scrap,2.1
2026-03-23,Metallic Scrap,18.06
2026-03-20,Metallic Scrap,5.1
2026-03-20,Metallic Scrap,2.09
2026-03-18,Metallic Scrap,2.3
2026-03-17,Metallic Scrap,14.5
2026-03-16,Metallic Scrap,2.17
2026-03-16,Metallic Scrap,2.18
2026-03-10,Metallic Scrap,2.2
2026-03-13,Grate Bars,2.69
2026-03-14,Metallic Scrap,8.73
2026-03-10,Metallic Scrap,13.29
2026-03-10,Metallic Scrap,14.16
2026-03-12,Metallic Scrap,9.13
2026-03-13,Grate Bars,10.96
2026-03-09,Grate Bars,4.08
2026-03-09,Metallic scrap,11.57
2026-03-09,Metallic scrap,8.45
2026-03-07,Metallic scrap,6.55
2026-03-07,Metallic scrap,7.06
2026-03-05,Metallic scrap,9.26
2026-03-05,Metallic scrap,6.43
2026-03-06,Metal Scrap,9.26
2026-03-06,Metal Scrap,8.21
2026-03-05,Metal Scrap,10.63
2026-03-03,Metallic scrap,8.47
2026-03-03,Metallic scrap,3.02
2026-03-03,Metallic scrap,2.79
2026-03-02,Metallic scrap,1.96
2026-03-03,Metallic scrap,7.42
2026-03-05,Metallic scrap,6.44
2026-01-02,Metallic scrap,15.92
2026-02-28,Metallic scrap,11.26
2026-02-27,Metallic scrap,12.26
2026-02-27,Metallic scrap,5.9
2026-02-27,Metallic scrap,24.55
2026-02-24,Metallic scrap,6.9
2026-02-24,Metallic scrap,6.0
2026-02-23,Metallic scrap,9.25
2026-02-23,Metallic scrap,1.25
2026-02-21,Metallic scrap,15.8
2026-02-21,Metallic scrap,5.69
2026-02-20,Metallic scrap,11.39
2026-02-20,Metallic scrap,14.05
2026-02-19,Metallic scrap,4.58
2026-02-17,Metallic scrap,8.03
2026-02-16,Metallic scrap,10.24
2026-02-09,Metallic scrap,5.93
2026-02-07,Metallic scrap,1.7
2026-02-06,Metallic scrap,10.75
2026-02-03,Damaged Grate bars,3.0
2026-02-02,Metallic Scrap,22.09
2026-02-02,Damaged Grate Bars,2.92
2026-01-27,Metallic Scrap,4.54
2026-01-21,Metallic Scrap,2.8
2026-01-20,Metallic Scrap,5.85
2026-01-12,Metallic Scrap,12.47
2026-01-08,Metallic Scrap,3.91
2026-01-06,Metallic Scrap,11.21
2026-01-05,Metallic Scrap,19.45
