QC,EE,IMS,Statistics,PM&DM,5S,Management Tools,DM
Stratification,KPI Achievement & EE,Quality Management Principles,Basic Statisics,PM,Introduction to 5S,Affinity Diagram,Understanding targets and plan
Check Sheet,Quality Circle,QMS Process Approach,Statstical sampling,PM & DM,1&2 S,Arrow Diagram,Understanding Process variations
Scatter diagram,QC story,QMS Risk Based Thinking,Data Distribution,Porter 5 forces,"3S, 4S &5S",Tree Diagram,Understanding run charts
Cause and effect,,What is QMS,Normal distribution,Pest & Swot,,Relations Diagram,SDCA of DM
Types of Cause and Effect Diagram,,EMS,Measure of central tendancy,Catchball,,PDPC,Elements of daily Management
Pareto,,OHS,Measure of Dispersion,Element of PM,,Matrix Diagram & Matrix Data Analysis,Elements of role clarity
Histogram,,Clause 4,Measure of Position,Kpi drill down,,,Elements of process visualization
Histogram types,,,Measure of shape,,,,Elements of process control
Control Chart,,,MSA,,,,Assessing daily management performance
Control Chart types,,,Hypothesis Testing,,,,Standardization
Control Chart not subgroup,,,Regression Analysis,,,,M-KPI &C-KPI
Control  Chart discrete data,,,What is Regression Analysis,,,,PM and DM Difference
,,,Simple linear regression,,,,Types of SDCA
,,,Multiple linear regression,,,,
,,,Binary Logistic Regression,,,,
